,maiorAtraso,margemBrutaAcumulada,prazoMedioRecebimentoVendas,titulosEmAberto,diferencaPercentualRisco,percentualRisco,faturamentoBruto,margemBruta,periodoDemonstrativoEmMeses,custos,anoFundacao,capitalSocial,scorePontualidade,Risco_Baixo,Risco_Medio,Risco_Muito Baixo,cluster
7662,17,0.490601749,0,0.0,1.0,0.0,0,16209878,10,28390609,2006,11214526,0,0,0,1,1
7663,3,0.1818755793,0,0.0,1.0,0.0,0,16209878,10,28390609,2006,11214526,1,0,0,1,1
7664,0,0.0,0,0.0,0.6964285714285714,0.3035714285714285,317524,0,10,0,2007,15500000,0,1,0,0,0
7665,0,0.35828034979999995,0,0.0,0.6607142857142857,0.3392857142857142,0,0,1,0,2019,200000,1,0,1,0,3
7666,0,0.388026225,0,0.0,0.75,0.25,1435018,0,12,0,2002,10000,1,1,0,0,0
7667,0,0.5875687962,17,69735.0,0.8035714285714285,0.1964285714285714,70915028,12288807,12,58626221,2019,4000000,1,1,0,0,0
7668,98,0.6054713933,0,0.0,0.6964285714285714,0.3035714285714285,0,0,1,0,2012,62200,0,1,0,0,0
7669,2,0.39620712840000005,4,19800.0,0.7321428571428571,0.2678571428571428,1172666,912137,12,260529,2003,600000,1,1,0,0,0
7670,0,0.6285771776,0,2640.0,0.875,0.125,11593568,6330134,3,5263434,2011,80000,1,1,0,0,0
7671,27,0.5352900394,0,16480.0,0.8035714285714285,0.1964285714285714,3711924,0,12,0,2002,15000,0,1,0,0,0
7672,33,0.7321402778,0,0.0,0.6964285714285714,0.3035714285714285,155737,0,12,0,2002,10000,1,1,0,0,0
7673,4,0.425441694,0,5499.19,0.8571428571428571,0.1428571428571428,84879291,84879291,12,0,1971,40000032,1,1,0,0,0
7674,8,0.4191883717,0,3293.34,0.8571428571428571,0.1428571428571428,6032091,0,12,0,2003,10000,1,1,0,0,0
7675,3,0.43987909560000005,0,0.0,0.75,0.25,442233,0,11,0,2000,8000,1,1,0,0,0
7676,4,0.5173010369,0,12825.0,0.8571428571428571,0.1428571428571428,47129158,0,12,0,1995,5993340,1,1,0,0,0
7677,4,0.2056178239,0,0.0,0.9464285714285714,0.0535714285714285,8833287,7759498,12,1073789,2013,587590,1,0,0,1,1
7678,4,0.5082437244,0,0.0,0.9107142857142856,0.0892857142857142,9636864,3851066,12,5785798,2012,100000,1,0,0,1,1
7679,5,0.429426684,47,39072.0,0.6964285714285714,0.3035714285714285,0,0,1,0,2007,70000,0,1,0,0,0
7680,64,0.2872513228,0,0.0,1.0,0.0,0,16209878,10,28390609,2006,11214526,0,0,0,1,1
7681,3,0.45671550479999995,0,0.0,0.5357142857142857,0.4642857142857142,120000,0,1,0,2020,120000,1,0,1,0,3
7682,4,0.0,0,0.0,0.7857142857142857,0.2142857142857142,2218816229,837610879,9,1381205350,2010,9000,0,1,0,0,2
7683,0,0.5314770587,0,0.0,1.0,0.0,0,16209878,10,28390609,2006,11214526,1,0,0,1,1
7684,64,0.2872513228,0,0.0,0.5714285714285714,0.4285714285714285,0,0,1,0,2006,50000,0,0,1,0,3
7685,0,0.5314770587,0,0.0,0.5535714285714285,0.4464285714285714,0,0,1,0,2020,50000,1,0,1,0,3
7686,0,0.6603987539,0,0.0,0.8928571428571428,0.1071428571428571,210000,0,1,0,1989,30000,1,0,0,1,1
7687,2,0.39620712840000005,4,19800.0,0.8392857142857142,0.1607142857142857,3195003,2236503,12,958500,2003,600000,1,1,0,0,0
7688,17,0.6030265525,0,3194.67,0.9107142857142856,0.0892857142857142,25026591,8150641,12,16875950,1995,10000000,1,0,0,1,1
7689,0,0.3878600711,39,20907.0,0.9464285714285714,0.0535714285714285,20444406,3235672,12,17208734,1985,300000,1,0,0,1,1
7690,2,0.576866695,0,0.0,0.9107142857142856,0.0892857142857142,3237102,1255895,12,1981207,2014,200000,1,0,0,1,1
7691,0,0.4795967718,6,1323.32,0.75,0.2499999999999999,5210243,5196748,12,13495,2018,200000,1,1,0,0,0
7692,4,0.5626921338,0,0.0,0.7857142857142857,0.2142857142857142,209247,199929,12,9318,2004,1500000,1,1,0,0,0
7693,0,0.0,0,0.0,0.8035714285714285,0.1964285714285714,23684737,9583440,12,14101297,2016,65000,0,1,0,0,0
7694,0,0.4518280429,0,0.0,0.8571428571428571,0.1428571428571428,1600834,0,12,0,2006,10000,1,1,0,0,0
7695,40,0.4932755544,0,0.0,1.0,0.0,0,16209878,10,28390609,2006,11214526,0,0,0,1,1
7696,16,0.2955400152,0,8600.78,0.5535714285714285,0.4464285714285714,1713750,0,12,0,2018,100000,0,0,1,0,3
7697,40,0.4932755544,0,0.0,0.8571428571428571,0.1428571428571428,460528495,429688999,11,30839496,2007,100000000,0,1,0,0,0
7698,15,0.2866087303,26,46346.4,1.0,0.0,0,16209878,10,28390609,2006,11214526,1,0,0,1,1
7699,5,0.4601469959,30,462717.79,0.8571428571428571,0.1428571428571428,52235760,22548559,11,29687201,2003,801000,1,1,0,0,0
7700,10,0.48970214759999997,0,0.0,0.6964285714285714,0.3035714285714285,28400664,0,12,0,1999,78800,1,1,0,0,0
7701,12,0.5543835022,15,1491736.37,0.6607142857142857,0.3392857142857142,0,0,1,0,2011,979957432,1,0,1,0,3
7702,0,0.38876296039999997,0,0.0,0.7678571428571428,0.2321428571428571,17557920,0,12,0,2018,100000,1,1,0,0,0
7703,25,0.44257475259999995,0,9769.12,1.0,0.0,0,16209878,10,28390609,2006,11214526,0,0,0,1,1
7704,25,0.44257475259999995,0,9769.12,0.7678571428571428,0.2321428571428571,3347389,3332912,12,14477,2012,120000,0,1,0,0,0
7705,0,0.5138381425999999,0,0.0,0.7857142857142857,0.2142857142857142,3388114,0,9,0,2019,200000,1,1,0,0,0
7706,15,0.2866087303,26,46346.4,0.75,0.25,10453331,0,8,0,1996,450000,1,1,0,0,0
7707,4,0.4794692175,18,54535.26,0.9107142857142856,0.0892857142857142,1853472,441060,12,1412412,2003,10000,1,0,0,1,1
7708,0,0.4434504179,0,65797.0,0.7678571428571428,0.2321428571428571,0,0,1,0,1983,300000,1,1,0,0,0
7709,4,0.4481176357,0,15600.0,1.0,0.0,0,16209878,10,28390609,2006,11214526,1,0,0,1,1
7710,4,0.5643683209,0,0.0,0.7678571428571428,0.2321428571428571,1535204,0,9,0,2019,200000,1,1,0,0,0
7711,4,0.5919934649,0,0.0,0.8035714285714285,0.1964285714285714,8546762,0,12,0,2007,96000,1,1,0,0,0
7712,25,0.5908915176,0,0.0,0.6964285714285714,0.3035714285714285,897759,0,12,0,2015,10000,1,1,0,0,0
7713,8,0.5992363045,0,6700.0,0.5357142857142857,0.4642857142857142,1444346,0,12,0,2016,140000,1,0,1,0,3
7714,22,0.5539163883,0,0.0,0.8035714285714285,0.1964285714285714,5257102,0,12,0,2002,300000,1,1,0,0,0
7715,4,0.4654716821,0,5056.0,1.0,0.0,0,16209878,10,28390609,2006,11214526,1,0,0,1,1
7716,6,0.5816001876,0,0.0,0.7321428571428571,0.2678571428571428,7148951,0,12,0,1969,2316300,1,1,0,0,0
7717,7,0.0550653092,0,0.0,0.6428571428571428,0.3571428571428571,12017182,4603836,12,7413346,2018,600000,1,0,1,0,3
7718,0,0.49312833409999995,0,0.0,0.8571428571428571,0.1428571428571428,2103631,0,12,0,2013,100000,1,1,0,0,0
7719,34,0.8257523148,18,22257.71,0.6964285714285714,0.3035714285714285,1859709,0,12,0,2010,80000,1,1,0,0,0
7720,19,0.6274810679999999,0,102962.08,0.7321428571428571,0.2678571428571428,12976622,6193669,11,6782953,2018,200000,1,1,0,0,0
7721,30,0.6215864295,6,1093374.04,0.6071428571428571,0.3928571428571428,0,0,1,0,2010,979957432,1,0,1,0,3
7722,6,0.5302221939,0,16049.33,0.75,0.25,2893356,0,12,0,2016,88000,0,1,0,0,0
7723,484,0.5662969152,0,19973.34,0.7321428571428571,0.2678571428571428,26725224,9592924,6,17132300,2015,2000000,1,1,0,0,0
7724,26,0.0,0,0.0,0.875,0.125,1753675,1082553,12,671122,2011,300000,0,1,0,0,0
7725,47,0.0,0,0.0,1.0,0.0,0,16209878,10,28390609,2006,11214526,0,0,0,1,1
7726,0,0.5031730413000001,0,0.0,0.8571428571428571,0.1428571428571428,1561340,0,12,0,1999,224000,1,1,0,0,0
7727,7,0.47842759729999995,20,209794.37,1.0,0.0,0,16209878,10,28390609,2006,11214526,0,0,0,1,1
7728,6,0.3720908912,0,0.0,0.9107142857142856,0.0892857142857142,51990978,19080988,12,32909990,2008,600000,1,0,0,1,1
7729,3,0.3533614354,0,0.0,0.8035714285714285,0.1964285714285714,51990978,19080988,12,32909990,2017,600000,1,1,0,0,0
7730,0,0.3985615944,0,5861.75,0.875,0.125,24326436,0,12,0,2014,10000,1,1,0,0,0
7731,0,0.3496319363,0,0.0,0.8571428571428571,0.1428571428571428,5544781,0,12,0,2011,40000,1,1,0,0,0
7732,0,0.0,0,0.0,0.75,0.2499999999999999,25619307,8966757,11,16652550,2020,150000,0,1,0,0,0
7733,15,0.36033894689999996,42,108440.0,0.8214285714285714,0.1785714285714285,17327777,4583683,12,12744094,2013,200000,1,1,0,0,0
7734,8,0.4727089922,0,0.0,0.9642857142857142,0.0357142857142857,42267812,22675803,12,19592009,1993,50000,0,0,0,1,1
7735,0,0.404286903,0,0.0,0.9107142857142856,0.0892857142857142,28817532,0,12,0,2002,1000000,1,0,0,1,1
7736,14,0.4488425993,0,0.0,0.6964285714285714,0.3035714285714285,6434048,0,6,0,2001,800000,1,1,0,0,0
7737,8,0.6268993835,16,3938589.7,0.5535714285714285,0.4464285714285714,0,0,1,0,2016,979957432,0,0,1,0,3
7738,7,0.47842759729999995,20,209794.37,0.9642857142857142,0.0357142857142857,10701729,3229508,9,7472221,2010,1000000,0,0,0,1,1
7739,17,0.44716890189999997,32,15190.66,0.5535714285714285,0.4464285714285714,1474027,0,12,0,2018,150000,1,0,1,0,3
7740,27,0.0,0,0.0,0.7678571428571428,0.2321428571428571,8964413,4461307,10,4503106,1984,2276219,0,1,0,0,0
7741,9,0.4706814281,35,529387.04,0.8035714285714285,0.1964285714285714,166558475,46014948,10,120543527,2018,1300020,1,1,0,0,0
7742,16,0.0,0,0.0,0.7321428571428571,0.2678571428571428,63666127,17870184,6,45795943,2004,352267734,0,1,0,0,0
7743,22,0.6267355099,0,0.0,1.0,0.0,0,16209878,10,28390609,2006,11214526,1,0,0,1,1
7744,2,0.6280689434000001,38,14068.36,0.8214285714285714,0.1785714285714285,9146740,0,12,0,1999,67800,1,1,0,0,0
7745,3,0.0,0,0.0,0.5535714285714285,0.4464285714285714,863822,0,12,0,2004,78800,0,0,1,0,3
7746,4,0.4654716821,0,5056.0,0.9107142857142856,0.0892857142857142,21770010,9557542,12,12212468,2008,700000,1,0,0,1,1
7747,6,0.38380952380000005,0,0.0,0.4107142857142857,0.5892857142857142,321590,321590,12,0,2016,20000,1,0,0,0,3
7748,19,0.0,0,0.0,0.8571428571428571,0.1428571428571428,248078280,77696798,9,170381482,2008,2000000,0,1,0,0,0
7749,52,0.0,0,0.0,0.8035714285714285,0.1964285714285714,8023285,3452511,12,4570774,2003,88000,0,1,0,0,0
7750,3,0.5860736809,5,3992.0,0.8571428571428571,0.1428571428571428,2126067,0,12,0,1976,200000,1,1,0,0,0
7751,57,0.1877488153,0,0.0,0.5892857142857142,0.4107142857142857,1147373,0,12,0,2013,80000,0,0,1,0,3
7752,22,0.6267355099,0,0.0,0.7678571428571428,0.2321428571428571,0,0,1,0,2010,500000,1,1,0,0,0
